"ID","target"
1,0.303787
3,0.292488
6,0.133964
9,0.143310
10,0.699719
11,0.038072
12,0.014516
13,0.026283
15,0.068817
17,0.019963
18,0.718908
19,0.028033
27,0.122192
29,0.009865
33,0.713148
34,0.008771
39,0.080868
41,0.040131
44,0.013416
45,0.314700
47,0.058245
48,0.010708
49,0.081859
53,0.035841
56,0.027896
57,0.139633
59,0.014608
61,0.043291
64,0.010541
68,0.028116
72,0.160267
73,0.024525
81,0.013305
82,0.347700
85,0.013346
87,0.021709
88,0.083579
92,0.013951
95,0.006204
96,0.008539
97,0.036414
99,0.146886
103,0.134715
104,0.043890
105,0.295422
106,0.115511
111,0.069288
112,0.224400
114,0.024316
117,0.035689
118,0.021359
119,0.007603
120,0.117385
121,0.023621
123,0.311156
127,0.013054
129,0.040281
130,0.021005
132,0.026499
133,0.218197
134,0.027992
135,0.118514
139,0.117212
141,0.003779
142,0.041297
145,0.019368
146,0.030857
147,0.359452
150,0.027005
152,0.105826
153,0.032188
158,0.045340
160,0.265793
163,0.385746
164,0.005829
171,0.026185
172,0.288452
173,0.003806
174,0.180336
175,0.016136
176,0.093097
177,0.712063
178,0.085873
179,0.046729
180,0.300677
181,0.406773
182,0.077473
185,0.583050
187,0.016828
189,0.021305
190,0.023204
192,0.039245
193,0.197674
200,0.040486
201,0.212165
202,0.259777
203,0.011572
204,0.034782
205,0.121986
206,0.070791
208,0.025212
209,0.077267
212,0.934961
214,0.015941
216,0.118863
224,0.010104
227,0.052640
228,0.386516
229,0.145976
230,0.343300
231,0.850329
232,0.008010
233,0.377784
235,0.022301
237,0.523778
240,0.023376
243,0.013994
244,0.707742
245,0.076526
246,0.083770
247,0.056743
248,0.032402
250,0.051746
252,0.212111
254,0.034551
255,0.066581
257,0.012955
267,0.005941
268,0.489292
271,0.834482
274,0.106916
277,0.292173
280,0.020001
281,0.107148
283,0.287072
284,0.700449
286,0.036669
287,0.029679
288,0.012673
290,0.013764
291,0.051582
292,0.025791
295,0.074609
301,0.037838
303,0.088066
304,0.066443
305,0.615278
308,0.014029
313,0.037552
314,0.004176
315,0.015374
317,0.064400
318,0.312070
319,0.141325
320,0.602844
323,0.012958
325,0.049322
327,0.086842
328,0.023945
329,0.038984
330,0.004164
333,0.673458
334,0.059251
342,0.064864
343,0.121528
346,0.045371
347,0.018687
348,0.086547
353,0.008717
354,0.014862
356,0.018769
358,0.569307
359,0.147800
360,0.044098
361,0.075060
365,0.066369
366,0.483760
367,0.066845
370,0.121699
371,0.092990
373,0.679423
375,0.221515
378,0.051885
379,0.467250
380,0.104712
383,0.371954
388,0.091376
389,0.184522
392,0.013500
395,0.068439
396,0.005751
397,0.624857
400,0.027152
401,0.054415
402,0.392713
403,0.660650
405,0.010122
408,0.025899
410,0.055693
414,0.023330
415,0.418930
416,0.247554
418,0.117240
422,0.007493
424,0.088704
427,0.063056
428,0.013654
429,0.085300
430,0.907720
436,0.011712
437,0.019180
438,0.011426
440,0.273531
441,0.256481
443,0.117666
445,0.006794
446,0.010992
447,0.074535
448,0.147464
451,0.331956
453,0.033156
454,0.053787
458,0.382904
460,0.021628
461,0.015589
463,0.004530
465,0.162329
466,0.288790
469,0.073816
470,0.061506
474,0.116149
475,0.037291
484,0.006430
485,0.284859
486,0.136153
490,0.012759
493,0.020304
494,0.240818
497,0.053686
498,0.079344
501,0.006819
503,0.227945
508,0.791685
510,0.155304
511,0.004058
512,0.145703
513,0.023846
514,0.019334
515,0.071882
517,0.034599
518,0.500384
519,0.048896
523,0.263739
525,0.071993
526,0.020494
530,0.030411
532,0.058224
537,0.035501
538,0.464178
539,0.241249
541,0.060448
542,0.023869
544,0.413723
545,0.277622
550,0.788408
551,0.047684
552,0.070586
553,0.025966
557,0.159321
558,0.078694
564,0.185055
567,0.023361
568,0.004225
571,0.031590
575,0.496394
577,0.027166
578,0.126828
580,0.040597
586,0.288575
589,0.027137
591,0.109770
592,0.196945
593,0.013680
595,0.119937
596,0.063468
599,0.383981
608,0.010716
610,0.440419
611,0.005640
614,0.453184
616,0.132807
618,0.028954
619,0.062845
620,0.004247
621,0.015755
622,0.017513
627,0.015716
629,0.022195
630,0.018924
631,0.475414
632,0.090985
633,0.050116
634,0.091171
635,0.029094
636,0.048010
637,0.017343
638,0.066961
639,0.650807
641,0.243827
648,0.014132
649,0.189315
654,0.314310
660,0.020100
662,0.749920
664,0.001827
665,0.094083
669,0.006384
670,0.012899
671,0.372343
672,0.245454
675,0.104602
676,0.032035
677,0.051464
678,0.029024
680,0.064894
681,0.123018
683,0.027489
684,0.649476
696,0.016613
697,0.081768
698,0.946939
699,0.049032
700,0.015055
701,0.023714
702,0.031165
703,0.102889
704,0.019702
705,0.027608
707,0.527468
708,0.290589
712,0.047739
713,0.121452
715,0.097373
717,0.024563
720,0.036631
721,0.028820
722,0.018072
723,0.040540
728,0.162484
729,0.014071
731,0.148693
733,0.011319
735,0.199348
736,0.675669
737,0.045535
739,0.105162
740,0.088000
742,0.008499
743,0.014965
745,0.006987
747,0.015390
749,0.027406
750,0.229006
751,0.555076
753,0.040732
755,0.013701
757,0.033982
761,0.055767
763,0.205746
764,0.038276
766,0.003878
769,0.071145
770,0.044251
771,0.983234
772,0.095084
774,0.023038
776,0.592228
777,0.017162
780,0.122155
782,0.437118
783,0.052144
784,0.038534
785,0.017465
787,0.036515
788,0.041975
790,0.216302
792,0.448357
793,0.010056
794,0.051045
797,0.098587
799,0.007311
800,0.037659
802,0.052905
803,0.833095
806,0.007753
807,0.013970
809,0.656653
811,0.018268
812,0.519390
813,0.710818
814,0.018443
816,0.111011
821,0.592779
822,0.042599
825,0.012914
827,0.286642
830,0.192973
832,0.509882
835,0.069665
837,0.034989
841,0.019548
843,0.886801
844,0.007181
845,0.665215
847,0.723895
849,0.011575
851,0.148309
852,0.328991
854,0.946878
855,0.016937
859,0.008453
860,0.106623
861,0.489893
862,0.002924
863,0.020333
864,0.732515
865,0.215607
866,0.040211
867,0.134521
868,0.711973
872,0.017259
873,0.216692
876,0.295940
880,0.045873
884,0.030768
885,0.580534
887,0.005249
888,0.056073
889,0.333656
892,0.056570
893,0.004319
896,0.022947
898,0.488034
899,0.175532
900,0.014352
901,0.292883
903,0.526407
904,0.650420
909,0.514779
912,0.173471
919,0.021051
920,0.329425
923,0.048813
926,0.018235
927,0.330002
929,0.045893
931,0.015542
933,0.646854
937,0.201025
938,0.160491
943,0.039680
947,0.022985
948,0.048340
949,0.039934
951,0.071479
952,0.180827
953,0.007344
954,0.156618
955,0.076953
957,0.112334
958,0.106853
959,0.017410
961,0.018633
962,0.100537
963,0.006743
964,0.142207
968,0.841872
971,0.240487
972,0.155654
975,0.044386
977,0.013375
978,0.048940
979,0.010935
980,0.102036
981,0.069032
982,0.321786
984,0.065811
986,0.043946
989,0.026271
992,0.540122
993,0.111220
997,0.381758
1000,0.132349
1001,0.896337
1003,0.023813
1004,0.095748
1006,0.010385
1008,0.066523
1012,0.701146
1019,0.787863
1020,0.673530
1023,0.045328
1024,0.098529
1025,0.004335
1026,0.548524
1030,0.396815
1032,0.009846
1034,0.540162
1037,0.025812
1041,0.719113
1042,0.123773
1044,0.037093
1045,0.023400
1048,0.039400
1050,0.022636
1054,0.068694
1055,0.017423
1057,0.118725
1058,0.061139
1059,0.196001
1061,0.042474
1062,0.014401
1063,0.132613
1064,0.105240
1065,0.068463
1066,0.099339
1068,0.832565
1070,0.429578
1074,0.156543
1079,0.109589
1080,0.538025
1082,0.016509
1089,0.435771
1092,0.164468
1093,0.026429
1096,0.012598
1097,0.024921
1098,0.041237
1099,0.086049
1100,0.023494
1102,0.496879
1104,0.053109
1105,0.008073
1106,0.642448
1108,0.463556
1109,0.092489
1110,0.504377
1111,0.050922
1117,0.270783
1118,0.488945
1121,0.037453
1122,0.041544
1124,0.106661
1130,0.347220
1132,0.350307
1133,0.030806
1134,0.720397
1135,0.013561
1136,0.210850
1141,0.100065
1142,0.229873
1143,0.353392
1145,0.017487
1146,0.659966
1150,0.345616
1153,0.006659
1154,0.349092
1155,0.016164
1156,0.411548
1157,0.036915
1159,0.014379
1160,0.119706
1162,0.026824
1164,0.088389
1167,0.016224
1168,0.223470
1169,0.010093
1175,0.023456
1177,0.089292
1179,0.037021
1180,0.036204
1181,0.663773
1183,0.369513
1187,0.026842
1188,0.382659
1192,0.172284
1194,0.005473
1199,0.036538
1203,0.146315
1205,0.037362
1207,0.244672
1211,0.023522
1215,0.025699
1219,0.584302
1220,0.026664
1224,0.111378
1226,0.537120
1228,0.028497
1232,0.018052
1234,0.107322
1235,0.109109
1237,0.225659
1241,0.123084
1243,0.364625
1245,0.015901
1247,0.076169
1248,0.027544
1249,0.308596
1252,0.019175
1253,0.120863
1255,0.007066
1258,0.056432
1259,0.010389
1261,0.030377
1264,0.407071
1266,0.008363
1268,0.039450
1273,0.007063
1276,0.064419
1277,0.220685
1279,0.013513
1280,0.005295
1282,0.061816
1287,0.045238
1288,0.010994
1291,0.093829
1293,0.030794
1295,0.179130
1297,0.118744
1298,0.012778
1299,0.022094
1300,0.238368
1304,0.750246
1306,0.042562
1307,0.044105
1308,0.079018
1311,0.197359
1312,0.048473
1313,0.059451
1315,0.007898
1317,0.112957
1319,0.153614
1320,0.106097
1323,0.350951
1324,0.014683
1327,0.021357
1328,0.013230
1330,0.011329
1333,0.119929
1334,0.877630
1336,0.050503
1337,0.210050
1346,0.041512
1347,0.314175
1348,0.007342
1353,0.105734
1355,0.085833
1356,0.007584
1357,0.285994
1358,0.171611
1361,0.292350
1362,0.909758
1365,0.181297
1366,0.036636
1367,0.026192
1369,0.508176
1371,0.012509
1372,0.048894
1373,0.590130
1375,0.013739
1377,0.176431
1378,0.204915
1382,0.011735
1383,0.040800
1384,0.160624
1386,0.045299
1388,0.009937
1389,0.026004
1390,0.089058
1392,0.028477
1393,0.027620
1394,0.016973
1395,0.009849
1397,0.093991
1399,0.049671
1404,0.002768
1408,0.308548
1409,0.068436
1412,0.439884
1414,0.253346
1418,0.047469
1419,0.058098
1421,0.156793
1424,0.399416
1426,0.012304
1427,0.047140
1430,0.019915
1433,0.050920
1436,0.230976
1443,0.032159
1445,0.173001
1446,0.170461
1449,0.647187
1451,0.027400
1455,0.047351
1456,0.010614
1457,0.037020
1460,0.608011
1462,0.035472
1463,0.011021
1464,0.044344
1466,0.018317
1468,0.032671
1470,0.034995
1471,0.058690
1472,0.022594
1474,0.235798
1476,0.030431
1477,0.801351
1482,0.032323
1485,0.312617
1486,0.303872
1488,0.056216
1489,0.095635
1490,0.170337
1492,0.008685
1493,0.450407
1494,0.015918
1495,0.083449
1496,0.012991
1497,0.084535
1501,0.022274
1505,0.204836
1506,0.072289
1507,0.035123
1508,0.054831
1509,0.167262
1511,0.165249
1514,0.004471
1515,0.019077
1517,0.107188
1518,0.153882
1523,0.054107
1524,0.361511
1525,0.016720
1531,0.005457
1533,0.200819
1535,0.195082
1538,0.005383
1539,0.034793
1541,0.043206
1542,0.018572
1543,0.019905
1544,0.700353
1548,0.016725
1549,0.271309
1554,0.047817
1557,0.208557
1559,0.254199
1560,0.789181
1564,0.019948
1566,0.071573
1570,0.015988
1571,0.075497
1574,0.015066
1575,0.018461
1576,0.011864
1577,0.327760
1578,0.139998
1580,0.038044
1581,0.078828
1582,0.059866
1593,0.018456
1595,0.437896
1599,0.012845
1600,0.056470
1601,0.042294
1602,0.682467
1603,0.037962
1608,0.133381
1611,0.062162
1612,0.045933
1620,0.345979
1621,0.151229
1623,0.010427
1625,0.366995
1626,0.117867
1627,0.075873
1628,0.014529
1634,0.104348
1639,0.112414
1642,0.009915
1643,0.018969
1644,0.319360
1645,0.042064
1646,0.007364
1649,0.704465
1651,0.418735
1655,0.025494
1656,0.006756
1658,0.588980
1659,0.029735
1661,0.094098
1662,0.678175
1664,0.026255
1669,0.011305
1671,0.070166
1672,0.068524
1673,0.138743
1674,0.022463
1675,0.030866
1677,0.101943
1679,0.035817
1680,0.779574
1683,0.343328
1684,0.009226
1685,0.105520
1686,0.315430
1687,0.032787
1689,0.044005
1690,0.430037
1692,0.026068
1693,0.268080
1694,0.007107
1695,0.050542
1696,0.015892
1697,0.245495
1700,0.041502
1701,0.055451
1702,0.514487
1703,0.154966
1705,0.249410
1706,0.125446
1707,0.791849
1711,0.039577
1714,0.076951
1718,0.168829
1723,0.051142
1726,0.019034
1727,0.392515
1728,0.054917
1729,0.569421
1730,0.649864
1731,0.017400
1733,0.057292
1735,0.309337
1736,0.149160
1740,0.026489
1742,0.161691
1743,0.090071
1744,0.035519
1745,0.016905
