"ID","target"
1,0.330956
3,0.343797
6,0.180466
9,0.152997
10,0.655617
11,0.068947
12,0.025665
13,0.039046
15,0.102533
17,0.038697
18,0.689644
19,0.052280
27,0.151668
29,0.021356
33,0.690978
34,0.023246
39,0.113515
41,0.078990
44,0.023079
45,0.343262
47,0.085618
48,0.020016
49,0.120148
53,0.056889
56,0.045910
57,0.172959
59,0.029528
61,0.064651
64,0.019093
68,0.054395
72,0.205241
73,0.045543
81,0.025037
82,0.392165
85,0.030864
87,0.045153
88,0.125336
92,0.041121
95,0.015125
96,0.017043
97,0.043288
99,0.164430
103,0.185192
104,0.067346
105,0.321042
106,0.130441
111,0.105997
112,0.281537
114,0.036874
117,0.059813
118,0.042231
119,0.015017
120,0.149377
121,0.037631
123,0.339848
127,0.026424
129,0.063114
130,0.049662
132,0.045618
133,0.244129
134,0.043884
135,0.175611
139,0.141875
141,0.011040
142,0.066717
145,0.031768
146,0.043438
147,0.368096
150,0.049589
152,0.132580
153,0.061086
158,0.065110
160,0.293168
163,0.414258
164,0.013180
171,0.054003
172,0.324652
173,0.009878
174,0.201993
175,0.027872
176,0.127327
177,0.696976
178,0.097652
179,0.066179
180,0.301582
181,0.409743
182,0.098520
185,0.571772
187,0.028907
189,0.036818
190,0.034716
192,0.052899
193,0.231965
200,0.067336
201,0.266473
202,0.290505
203,0.035884
204,0.063509
205,0.153546
206,0.105973
208,0.045334
209,0.105448
212,0.874744
214,0.029995
216,0.159679
224,0.021171
227,0.084033
228,0.423633
229,0.182569
230,0.359808
231,0.832922
232,0.016995
233,0.395338
235,0.046459
237,0.523527
240,0.041000
243,0.038848
244,0.701877
245,0.106661
246,0.118447
247,0.088976
248,0.052234
250,0.085242
252,0.240453
254,0.060137
255,0.108980
257,0.033240
267,0.014956
268,0.480985
271,0.790352
274,0.129276
277,0.318790
280,0.031100
281,0.144976
283,0.332857
284,0.679849
286,0.055878
287,0.059577
288,0.025490
290,0.026721
291,0.094691
292,0.039218
295,0.107481
301,0.063827
303,0.120653
304,0.102766
305,0.592264
308,0.027195
313,0.056451
314,0.012332
315,0.031054
317,0.095360
318,0.353433
319,0.185197
320,0.586264
323,0.029469
325,0.066240
327,0.109600
328,0.042042
329,0.058155
330,0.011171
333,0.598379
334,0.080780
342,0.084308
343,0.162982
346,0.069256
347,0.035495
348,0.120693
353,0.020399
354,0.031212
356,0.030576
358,0.573659
359,0.191699
360,0.083606
361,0.090302
365,0.084421
366,0.442899
367,0.086441
370,0.150821
371,0.136841
373,0.667400
375,0.251866
378,0.090614
379,0.466635
380,0.122668
383,0.425862
388,0.159678
389,0.209581
392,0.028540
395,0.107919
396,0.017477
397,0.594805
400,0.041132
401,0.077385
402,0.449798
403,0.631189
405,0.018254
408,0.052035
410,0.078060
414,0.049945
415,0.409884
416,0.280951
418,0.154559
422,0.016272
424,0.120933
427,0.100202
428,0.026164
429,0.117042
430,0.833036
436,0.020868
437,0.035498
438,0.021903
440,0.321922
441,0.261263
443,0.164141
445,0.014432
446,0.029920
447,0.112898
448,0.183887
451,0.335573
453,0.049059
454,0.079911
458,0.381595
460,0.034837
461,0.029037
463,0.011840
465,0.206235
466,0.335420
469,0.113813
470,0.087137
474,0.150466
475,0.064812
484,0.014533
485,0.293088
486,0.157332
490,0.022799
493,0.038018
494,0.285317
497,0.082059
498,0.109363
501,0.014361
503,0.289609
508,0.793883
510,0.182906
511,0.011027
512,0.239076
513,0.041319
514,0.037254
515,0.092277
517,0.055693
518,0.494118
519,0.071574
523,0.305671
525,0.091463
526,0.035824
530,0.049839
532,0.085586
537,0.061389
538,0.457480
539,0.262946
541,0.081680
542,0.047192
544,0.420556
545,0.314654
550,0.760735
551,0.068199
552,0.095917
553,0.041927
557,0.211222
558,0.123439
564,0.187854
567,0.035378
568,0.009803
571,0.053206
575,0.518988
577,0.051392
578,0.163409
580,0.069806
586,0.313519
589,0.050350
591,0.151036
592,0.230584
593,0.026717
595,0.150241
596,0.105327
599,0.384459
608,0.026264
610,0.424109
611,0.013045
614,0.478983
616,0.178257
618,0.042901
619,0.089868
620,0.011650
621,0.033228
622,0.032088
627,0.026876
629,0.040840
630,0.039569
631,0.482525
632,0.147571
633,0.068854
634,0.126239
635,0.052369
636,0.075401
637,0.025914
638,0.095649
639,0.622552
641,0.244318
648,0.024584
649,0.226943
654,0.336019
660,0.036788
662,0.725427
664,0.006912
665,0.151608
669,0.013475
670,0.029607
671,0.365814
672,0.289337
675,0.141072
676,0.063554
677,0.083703
678,0.049348
680,0.095432
681,0.158234
683,0.048996
684,0.656805
696,0.026687
697,0.116261
698,0.846604
699,0.085154
700,0.027160
701,0.043907
702,0.059707
703,0.140156
704,0.036382
705,0.049902
707,0.516086
708,0.319243
712,0.068625
713,0.149371
715,0.134580
717,0.040904
720,0.057707
721,0.044669
722,0.037854
723,0.057827
728,0.199112
729,0.024709
731,0.186525
733,0.026283
735,0.248926
736,0.670624
737,0.070785
739,0.151652
740,0.124435
742,0.022125
743,0.024217
745,0.013383
747,0.026245
749,0.060180
750,0.244195
751,0.539244
753,0.066454
755,0.027777
757,0.051360
761,0.089848
763,0.238622
764,0.058324
766,0.010709
769,0.098229
770,0.063489
771,0.940350
772,0.142079
774,0.039939
776,0.597285
777,0.030459
780,0.169610
782,0.393998
783,0.081909
784,0.058475
785,0.041203
787,0.052563
788,0.064977
790,0.255575
792,0.442948
793,0.024105
794,0.064239
797,0.131424
799,0.013742
800,0.061789
802,0.079324
803,0.799111
806,0.017556
807,0.024545
809,0.656159
811,0.034450
812,0.540577
813,0.698041
814,0.032672
816,0.141283
821,0.530640
822,0.064790
825,0.023007
827,0.303129
830,0.237645
832,0.520820
835,0.103544
837,0.061954
841,0.139706
843,0.847066
844,0.017257
845,0.669409
847,0.700867
849,0.022969
851,0.196849
852,0.324158
854,0.914835
855,0.034025
859,0.022446
860,0.133593
861,0.498794
862,0.009741
863,0.037530
864,0.726558
865,0.232922
866,0.066012
867,0.184423
868,0.678048
872,0.028853
873,0.272166
876,0.316481
880,0.073973
884,0.053942
885,0.573793
887,0.011849
888,0.091034
889,0.332633
892,0.087407
893,0.010941
896,0.036868
898,0.525578
899,0.189796
900,0.031485
901,0.431520
903,0.543806
904,0.650759
909,0.489671
912,0.214514
919,0.034717
920,0.331528
923,0.081179
926,0.031515
927,0.370869
